Iteration 1:
         x0      x1      b       w0      w1      wb      a       y       z
         -1.0    -1.0    1.0     0       0       0       0.0     0       0.0
         -2.0    -3.0    1.0     0.0     0.0     0.0     0.0     0       0.0
         -3.0    -2.0    1.0     0.0     0.0     0.0     0.0     0       0.0
         -2.0    -2.0    1.0     0.0     0.0     0.0     0.0     0       0.0
         1.0     1.0     1.0     0.0     0.0     0.0     0.0     0       1.0
         2.0     3.0     1.0     0.1     0.1     0.1     0.6     1       1.0
         3.0     2.0     1.0     0.1     0.1     0.1     0.6     1       1.0
         2.0     2.0     1.0     0.1     0.1     0.1     0.5     1       1.0
Iteration 2:
         x0      x1      b       w0      w1      wb      a       y       z
         -1.0    -1.0    1.0     0.1     0.1     0.1     -0.1    0       0.0
         -2.0    -3.0    1.0     0.1     0.1     0.1     -0.4    0       0.0
         -3.0    -2.0    1.0     0.1     0.1     0.1     -0.4    0       0.0
         -2.0    -2.0    1.0     0.1     0.1     0.1     -0.3    0       0.0
         1.0     1.0     1.0     0.1     0.1     0.1     0.3     1       1.0
         2.0     3.0     1.0     0.1     0.1     0.1     0.6     1       1.0
         3.0     2.0     1.0     0.1     0.1     0.1     0.6     1       1.0
         2.0     2.0     1.0     0.1     0.1     0.1     0.5     1       1.0
